epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8214285969734192,0.9265872240066528,9.999999747378752e-06,0.37677279114723206,0.8240000009536743,0.817460298538208,0.6666666865348816,1.0,0.6218324899673462,0.625,1.0
1,0.9365079402923584,0.9742063283920288,9.999999747378752e-06,0.2620345652103424,0.9583333134651184,0.9126983880996704,0.6666666865348816,1.0,0.5464789867401123,0.625,1.0
2,0.9246031641960144,0.9834970831871033,9.999999747378752e-06,0.22727124392986298,0.934959352016449,0.9126983880996704,0.6666666865348816,1.0,0.5247877240180969,0.625,1.0
3,0.9285714030265808,0.9869613647460938,9.999999747378752e-06,0.20704209804534912,0.9285714030265808,0.9285714030265808,0.6666666865348816,1.0,0.48899778723716736,0.625,1.0
4,0.9722222089767456,0.9981732964515686,9.999999747378752e-06,0.1466161608695984,0.9760000109672546,0.9682539701461792,0.6666666865348816,1.0,0.4699496626853943,0.625,1.0
5,0.9722222089767456,0.9948350191116333,9.999999747378752e-06,0.15159833431243896,0.9760000109672546,0.9682539701461792,0.7777777910232544,1.0,0.4547326862812042,0.7142857313156128,1.0
6,0.9801587462425232,0.998425304889679,9.999999747378752e-06,0.13493558764457703,0.9918699264526367,0.9682539701461792,0.7777777910232544,1.0,0.4418388605117798,0.7142857313156128,1.0
7,0.976190447807312,0.9990551471710205,9.999999747378752e-06,0.12466723471879959,0.96875,0.9841269850730896,0.8888888955116272,1.0,0.4276401996612549,0.8333333134651184,1.0
8,0.988095223903656,0.9987087249755859,9.999999747378752e-06,0.11929161101579666,0.9919999837875366,0.9841269850730896,1.0,1.0,0.42188775539398193,1.0,1.0
9,0.9920634627342224,0.9999370574951172,9.999999747378752e-06,0.09870988130569458,0.9920634627342224,0.9920634627342224,0.8888888955116272,1.0,0.41461944580078125,1.0,0.800000011920929
10,0.9801587462425232,0.999622106552124,9.999999747378752e-06,0.10465806722640991,1.0,0.9603174328804016,0.7777777910232544,1.0,0.4100029170513153,1.0,0.6000000238418579
11,0.9841269850730896,0.9997479915618896,9.999999747378752e-06,0.09270010888576508,0.9841269850730896,0.9841269850730896,0.7777777910232544,1.0,0.403249591588974,1.0,0.6000000238418579
12,0.976190447807312,0.9983623027801514,9.999999747378752e-06,0.11044592410326004,0.9838709831237793,0.9682539701461792,0.7777777910232544,1.0,0.3988845646381378,1.0,0.6000000238418579
